標的名稱,時間,市佔率,成長率,金額
大立光,2015-06,12.8,0,13889007.60
台積電,2015-06,9.5,0,10314353.125
可成,2015-06,8,0,8744830.00
大立光,2015-07,13.1,-8.13,12759566.52
台積電,2015-07,11.4,7.77,11116164.359
可成,2015-07,7.9,-11.93,7700892.00
大立光,2015-08,13.1,-4.87,12137814.88
台積電,2015-08,10.9,-8.9,10125824.814
可成,2015-08,8.1,-1.99,7547356.00
台積電,2015-09,11.2,-0.15,10109809.58
大立光,2015-09,9.8,-27.02,8857968.64
可成,2015-09,8.6,2.28,7720113.00
台積電,2015-10,12.6,13.5,11475113.561
大立光,2015-10,8.6,-10.9,7891820.04
可成,2015-10,6,-28.55,5515840.00
台積電,2015-11,13.4,3.4,11865702.474
大立光,2015-11,7.7,-13.85,6798407.16
可成,2015-11,5.5,-11.96,4855972.00
台積電,2015-12,14.5,6.67,12658326.538
大立光,2015-12,5.6,-27.8,4908066.88
可成,2015-12,3.3,-39.94,2916216.00
台積電,2016-01,14.2,-1.5,12468236.444
大立光,2016-01,6.9,23.47,6060360.00
可成,2016-01,3.6,7.8,3143742.00
台積電,2016-02,14.2,3.73,12933569.818
大立光,2016-02,6.5,-2.82,5889170.04
同致電子,2016-02,4.2,31.9,3802230.00
台積電,2016-03,15,6.02,13712892.084
大立光,2016-03,5.6,-12.8,5135069.28
同致電子,2016-03,5.6,34.91,5129870.00
台積電,2016-04,14.1,-12.54,11991972.30
同致電子,2016-04,6.5,6.83,5480346.00
大立光,2016-04,4.5,-25.9,3804846.88
台積電,2016-05,15.1,10.28,13225890.435
大立光,2016-05,7.1,63.5,6221031.68
中華電,2016-05,3.2,10.75,2776334.00
台積電,2016-06,15.6,2.11,13504965.827
大立光,2016-06,8.3,14.61,7130269.08
中華電,2016-06,3.4,6.27,2950642.10
台積電,2016-07,14.9,-2.47,13171148.147
大立光,2016-07,9,11.81,7972512.48
中華電,2016-07,3,-9.91,2658215.40
台積電,2016-08,14.4,-4.17,12621396.832
大立光,2016-08,8.8,-3.69,7678008.64
中華電,2016-08,3,-1.65,2614179.60
台積電,2016-09,14.7,1.84,12854292.967
大立光,2016-09,9.6,9.82,8432741.52
中華電,2016-09,2.7,-9.22,2372921.20
台積電,2016-10,15.3,1.39,13034111.859
大立光,2016-10,10.4,5.47,8894469.24
鴻海,2016-10,3.2,101.06,2714758.228
